STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,REF_AREA,Reference area,FREQ,Frequency of observation,MEASURE,Measure,UNIT_MEASURE,Unit of measure,AGE,Age,SEX,Sex,STATISTICAL_OPERATION,Statistical operation,TIME_PERIOD,Time period,OBS_VALUE,Observation value,HSPA,HSPA,METHODOLOGY,Calculation methodology,TIME_RANGE,Time range,DECIMALS,Decimals,OBS_STATUS,Observation status,OBS_STATUS2,Observation status 2,OBS_STATUS3,Observation status 3,UNIT_MULT,Unit multiplier
DATAFLOW,OECD.ELS.HD:DSD_HCQO@DF_PE(1.0),Patient experiences,I,SWE,Sweden,A,Annual,RHPTIPAT,Regular doctor spending enough time with patients during the consultation,PT_PAT,Percentage of patients,Y_GE16,16 years or over,_T,Total,VALUEW,Weighted value,2016,,73.7,,,,_Z,Not applicable,,,1,One,,,,,,,0,Units
DATAFLOW,OECD.ELS.HD:DSD_HCQO@DF_PE(1.0),Patient experiences,I,SWE,Sweden,A,Annual,RHPTIPAT,Regular doctor spending enough time with patients during the consultation,PT_PAT,Percentage of patients,Y_GE16,16 years or over,_T,Total,VALUEW,Weighted value,2020,,69,,,,_Z,Not applicable,,,1,One,,,,,,,0,Units
DATAFLOW,OECD.ELS.HD:DSD_HCQO@DF_PE(1.0),Patient experiences,I,SWE,Sweden,A,Annual,RHPTIPAT,Regular doctor spending enough time with patients during the consultation,PT_PAT,Percentage of patients,Y_GE16,16 years or over,_T,Total,VALUEW,Weighted value,2010,,74.7,,,,_Z,Not applicable,,,1,One,,,,,,,0,Units
DATAFLOW,OECD.ELS.HD:DSD_HCQO@DF_PE(1.0),Patient experiences,I,ISR,Israel,A,Annual,HPRGOASK,Doctor giving opportunity to ask questions or raise concerns,PT_PAT,Percentage of patients,Y_GE16,16 years or over,_T,Total,VALUEW,Weighted value,2014,,88.4,,,,_Z,Not applicable,,,1,One,,,,,,,0,Units
DATAFLOW,OECD.ELS.HD:DSD_HCQO@DF_PE(1.0),Patient experiences,I,ISR,Israel,A,Annual,HPRGOASK,Doctor giving opportunity to ask questions or raise concerns,PT_PAT,Percentage of patients,Y_GE16,16 years or over,_T,Total,VALUEW,Weighted value,2016,,87.9,,,,_Z,Not applicable,,,1,One,,,,,,,0,Units
DATAFLOW,OECD.ELS.HD:DSD_HCQO@DF_PE(1.0),Patient experiences,I,ISR,Israel,A,Annual,HPRGOASK,Doctor giving opportunity to ask questions or raise concerns,PT_PAT,Percentage of patients,Y_GE16,16 years or over,_T,Total,VALUEW,Weighted value,2018,,94.2,,,,_Z,Not applicable,,,1,One,,,,,,,0,Units
DATAFLOW,OECD.ELS.HD:DSD_HCQO@DF_PE(1.0),Patient experiences,I,NZL,New Zealand,A,Annual,HPREXCLA,Doctor providing easy-to-understand explanations,PT_PAT,Percentage of patients,Y_GE16,16 years or over,_T,Total,VALUEW,Weighted value,2013,,91.5,,,,_Z,Not applicable,,,1,One,,,,,,,0,Units
DATAFLOW,OECD.ELS.HD:DSD_HCQO@DF_PE(1.0),Patient experiences,I,NZL,New Zealand,A,Annual,HPREXCLA,Doctor providing easy-to-understand explanations,PT_PAT,Percentage of patients,Y_GE16,16 years or over,_T,Total,VALUEW,Weighted value,2014,,91.7,,,,_Z,Not applicable,,,1,One,,,,,,,0,Units
DATAFLOW,OECD.ELS.HD:DSD_HCQO@DF_PE(1.0),Patient experiences,I,NZL,New Zealand,A,Annual,HPREXCLA,Doctor providing easy-to-understand explanations,PT_PAT,Percentage of patients,Y_GE16,16 years or over,_T,Total,VALUEW,Weighted value,2015,,90.5,,,,_Z,Not applicable,,,1,One,,,,,,,0,Units
DATAFLOW,OECD.ELS.HD:DSD_HCQO@DF_PE(1.0),Patient experiences,I,ESP,Spain,A,Annual,RHPGOASK,Regular doctor giving opportunity to ask questions or raise concerns,PT_PAT,Percentage of patients,Y_GE16,16 years or over,_T,Total,VALUEW,Weighted value,2019,,90.7,,,,_Z,Not applicable,,,1,One,,,,,,,0,Units
DATAFLOW,OECD.ELS.HD:DSD_HCQO@DF_PE(1.0),Patient experiences,I,ESP,Spain,A,Annual,RHPGOASK,Regular doctor giving opportunity to ask questions or raise concerns,PT_PAT,Percentage of patients,Y_GE16,16 years or over,_T,Total,VALUEW,Weighted value,2022,,82.3,,,,_Z,Not applicable,,,1,One,,,,,,,0,Units
DATAFLOW,OECD.ELS.HD:DSD_HCQO@DF_PE(1.0),Patient experiences,I,ESP,Spain,A,Annual,RHPGOASK,Regular doctor giving opportunity to ask questions or raise concerns,PT_PAT,Percentage of patients,Y_GE16,16 years or over,_T,Total,VALUEW,Weighted value,2014,,86.6,,,,_Z,Not applicable,,,1,One,,,,,,,0,Units
DATAFLOW,OECD.ELS.HD:DSD_HCQO@DF_PE(1.0),Patient experiences,I,ESP,Spain,A,Annual,RHPGOASK,Regular doctor giving opportunity to ask questions or raise concerns,PT_PAT,Percentage of patients,Y_GE16,16 years or over,_T,Total,VALUEW,Weighted value,2015,,88.2,,,,_Z,Not applicable,,,1,One,,,,,,,0,Units
DATAFLOW,OECD.ELS.HD:DSD_HCQO@DF_PE(1.0),Patient experiences,I,ESP,Spain,A,Annual,RHPGOASK,Regular doctor giving opportunity to ask questions or raise concerns,PT_PAT,Percentage of patients,Y_GE16,16 years or over,_T,Total,VALUEW,Weighted value,2016,,88.5,,,,_Z,Not applicable,,,1,One,,,,,,,0,Units
DATAFLOW,OECD.ELS.HD:DSD_HCQO@DF_PE(1.0),Patient experiences,I,NZL,New Zealand,A,Annual,RHPIPDEC,Regular doctor involving patients in decisions about care or treatment,PT_PAT,Percentage of patients,Y_GE16,16 years or over,_T,Total,VALUEW,Weighted value,2013,,90,,,,_Z,Not applicable,,,1,One,,,,,,,0,Units
DATAFLOW,OECD.ELS.HD:DSD_HCQO@DF_PE(1.0),Patient experiences,I,NZL,New Zealand,A,Annual,RHPIPDEC,Regular doctor involving patients in decisions about care or treatment,PT_PAT,Percentage of patients,Y_GE16,16 years or over,_T,Total,VALUEW,Weighted value,2016,,87.9,,,,_Z,Not applicable,,,1,One,,,,,,,0,Units
DATAFLOW,OECD.ELS.HD:DSD_HCQO@DF_PE(1.0),Patient experiences,I,NZL,New Zealand,A,Annual,RHPIPDEC,Regular doctor involving patients in decisions about care or treatment,PT_PAT,Percentage of patients,Y_GE16,16 years or over,_T,Total,VALUEW,Weighted value,2020,,89.6,,,,_Z,Not applicable,,,1,One,,,,,,,0,Units
DATAFLOW,OECD.ELS.HD:DSD_HCQO@DF_PE(1.0),Patient experiences,I,USA,United States,A,Annual,RHPTIPAT,Regular doctor spending enough time with patients during the consultation,PT_PAT,Percentage of patients,Y_GE16,16 years or over,_T,Total,VALUEW,Weighted value,2016,,81.5,,,,_Z,Not applicable,,,1,One,,,,,,,0,Units
DATAFLOW,OECD.ELS.HD:DSD_HCQO@DF_PE(1.0),Patient experiences,I,USA,United States,A,Annual,RHPTIPAT,Regular doctor spending enough time with patients during the consultation,PT_PAT,Percentage of patients,Y_GE16,16 years or over,_T,Total,VALUEW,Weighted value,2020,,83.5,,,,_Z,Not applicable,,,1,One,,,,,,,0,Units
DATAFLOW,OECD.ELS.HD:DSD_HCQO@DF_PE(1.0),Patient experiences,I,USA,United States,A,Annual,RHPTIPAT,Regular doctor spending enough time with patients during the consultation,PT_PAT,Percentage of patients,Y_GE16,16 years or over,_T,Total,VALUEW,Weighted value,2010,,82.2,,,,_Z,Not applicable,,,1,One,,,,,,,0,Units
DATAFLOW,OECD.ELS.HD:DSD_HCQO@DF_PE(1.0),Patient experiences,I,ISR,Israel,A,Annual,HPRIPDEC,Doctor involving patients in decisions about care or treatment,PT_PAT,Percentage of patients,Y_GE16,16 years or over,_T,Total,VALUEW,Weighted value,2016,,80.7,,,,_Z,Not applicable,,,1,One,,,,,,,0,Units
DATAFLOW,OECD.ELS.HD:DSD_HCQO@DF_PE(1.0),Patient experiences,I,ISR,Israel,A,Annual,HPRIPDEC,Doctor involving patients in decisions about care or treatment,PT_PAT,Percentage of patients,Y_GE16,16 years or over,_T,Total,VALUEW,Weighted value,2018,,92.4,,,,_Z,Not applicable,,,1,One,,,,,,,0,Units
DATAFLOW,OECD.ELS.HD:DSD_HCQO@DF_PE(1.0),Patient experiences,I,ISR,Israel,A,Annual,HPRIPDEC,Doctor involving patients in decisions about care or treatment,PT_PAT,Percentage of patients,Y_GE16,16 years or over,_T,Total,VALUEW,Weighted value,2021,,83.7,,,,_Z,Not applicable,,,1,One,,,,,,,0,Units
DATAFLOW,OECD.ELS.HD:DSD_HCQO@DF_PE(1.0),Patient experiences,I,KOR,Korea,A,Annual,HPRGOASK,Doctor giving opportunity to ask questions or raise concerns,PT_PAT,Percentage of patients,Y_GE16,16 years or over,_T,Total,VALUEW,Weighted value,2020,,88.6,,,,_Z,Not applicable,,,1,One,,,,,,,0,Units
DATAFLOW,OECD.ELS.HD:DSD_HCQO@DF_PE(1.0),Patient experiences,I,KOR,Korea,A,Annual,HPRGOASK,Doctor giving opportunity to ask questions or raise concerns,PT_PAT,Percentage of patients,Y_GE16,16 years or over,_T,Total,VALUEW,Weighted value,2021,,88.3,,,,_Z,Not applicable,,,1,One,,,,,,,0,Units
DATAFLOW,OECD.ELS.HD:DSD_HCQO@DF_PE(1.0),Patient experiences,I,KOR,Korea,A,Annual,HPRGOASK,Doctor giving opportunity to ask questions or raise concerns,PT_PAT,Percentage of patients,Y_GE16,16 years or over,_T,Total,VALUEW,Weighted value,2022,,87.3,,,,_Z,Not applicable,,,1,One,,,,,,,0,Units
DATAFLOW,OECD.ELS.HD:DSD_HCQO@DF_PE(1.0),Patient experiences,I,KOR,Korea,A,Annual,HPRGOASK,Doctor giving opportunity to ask questions or raise concerns,PT_PAT,Percentage of patients,Y_GE16,16 years or over,_T,Total,VALUEW,Weighted value,2015,,82.3,,,,_Z,Not applicable,,,1,One,,,,,,,0,Units
DATAFLOW,OECD.ELS.HD:DSD_HCQO@DF_PE(1.0),Patient experiences,I,KOR,Korea,A,Annual,HPRGOASK,Doctor giving opportunity to ask questions or raise concerns,PT_PAT,Percentage of patients,Y_GE16,16 years or over,_T,Total,VALUEW,Weighted value,2018,,81.4,,,,_Z,Not applicable,,,1,One,,,,,,,0,Units
DATAFLOW,OECD.ELS.HD:DSD_HCQO@DF_PE(1.0),Patient experiences,I,SVN,Slovenia,A,Annual,HPRTIPAT,Doctor spending enough time with patients during the consultation,PT_PAT,Percentage of patients,Y_GE16,16 years or over,_T,Total,VALUEW,Weighted value,2020,,83.3,,,,_Z,Not applicable,,,1,One,,,,,,,0,Units
DATAFLOW,OECD.ELS.HD:DSD_HCQO@DF_PE(1.0),Patient experiences,I,SVN,Slovenia,A,Annual,HPRTIPAT,Doctor spending enough time with patients during the consultation,PT_PAT,Percentage of patients,Y_GE16,16 years or over,_T,Total,VALUEW,Weighted value,2021,,84.4,,,,_Z,Not applicable,,,1,One,,,,,,,0,Units
DATAFLOW,OECD.ELS.HD:DSD_HCQO@DF_PE(1.0),Patient experiences,I,ISR,Israel,A,Annual,HPREXCLA,Doctor providing easy-to-understand explanations,PT_PAT,Percentage of patients,Y_GE16,16 years or over,_T,Total,VALUEW,Weighted value,2016,,90.4,,,,_Z,Not applicable,,,1,One,,,,,,,0,Units
DATAFLOW,OECD.ELS.HD:DSD_HCQO@DF_PE(1.0),Patient experiences,I,ISR,Israel,A,Annual,HPREXCLA,Doctor providing easy-to-understand explanations,PT_PAT,Percentage of patients,Y_GE16,16 years or over,_T,Total,VALUEW,Weighted value,2018,,97.5,,,,_Z,Not applicable,,,1,One,,,,,,,0,Units
DATAFLOW,OECD.ELS.HD:DSD_HCQO@DF_PE(1.0),Patient experiences,I,ISR,Israel,A,Annual,HPREXCLA,Doctor providing easy-to-understand explanations,PT_PAT,Percentage of patients,Y_GE16,16 years or over,_T,Total,VALUEW,Weighted value,2021,,90.4,,,,_Z,Not applicable,,,1,One,,,,,,,0,Units
DATAFLOW,OECD.ELS.HD:DSD_HCQO@DF_PE(1.0),Patient experiences,I,EST,Estonia,A,Annual,RHPIPDEC,Regular doctor involving patients in decisions about care or treatment,PT_PAT,Percentage of patients,Y_GE16,16 years or over,_T,Total,VALUEW,Weighted value,2015,,81.1,,,,_Z,Not applicable,,,1,One,,,,,,,0,Units
DATAFLOW,OECD.ELS.HD:DSD_HCQO@DF_PE(1.0),Patient experiences,I,EST,Estonia,A,Annual,RHPIPDEC,Regular doctor involving patients in decisions about care or treatment,PT_PAT,Percentage of patients,Y_GE16,16 years or over,_T,Total,VALUEW,Weighted value,2016,,78.3,,,,_Z,Not applicable,,,1,One,,,,,,,0,Units
DATAFLOW,OECD.ELS.HD:DSD_HCQO@DF_PE(1.0),Patient experiences,I,EST,Estonia,A,Annual,RHPIPDEC,Regular doctor involving patients in decisions about care or treatment,PT_PAT,Percentage of patients,Y_GE16,16 years or over,_T,Total,VALUEW,Weighted value,2019,,87,,,,_Z,Not applicable,,,1,One,,,,,,,0,Units
DATAFLOW,OECD.ELS.HD:DSD_HCQO@DF_PE(1.0),Patient experiences,I,EST,Estonia,A,Annual,RHPIPDEC,Regular doctor involving patients in decisions about care or treatment,PT_PAT,Percentage of patients,Y_GE16,16 years or over,_T,Total,VALUEW,Weighted value,2012,,78.5,,,,_Z,Not applicable,,,1,One,,,,,,,0,Units
DATAFLOW,OECD.ELS.HD:DSD_HCQO@DF_PE(1.0),Patient experiences,I,EST,Estonia,A,Annual,RHPIPDEC,Regular doctor involving patients in decisions about care or treatment,PT_PAT,Percentage of patients,Y_GE16,16 years or over,_T,Total,VALUEW,Weighted value,2013,,79.5,,,,_Z,Not applicable,,,1,One,,,,,,,0,Units
DATAFLOW,OECD.ELS.HD:DSD_HCQO@DF_PE(1.0),Patient experiences,I,ISR,Israel,A,Annual,RHPTIPAT,Regular doctor spending enough time with patients during the consultation,PT_PAT,Percentage of patients,Y_GE16,16 years or over,_T,Total,VALUEW,Weighted value,2018,,96.3,,,,_Z,Not applicable,,,1,One,,,,,,,0,Units
DATAFLOW,OECD.ELS.HD:DSD_HCQO@DF_PE(1.0),Patient experiences,I,ISR,Israel,A,Annual,RHPTIPAT,Regular doctor spending enough time with patients during the consultation,PT_PAT,Percentage of patients,Y_GE16,16 years or over,_T,Total,VALUEW,Weighted value,2021,,96.6,,,,_Z,Not applicable,,,1,One,,,,,,,0,Units
DATAFLOW,OECD.ELS.HD:DSD_HCQO@DF_PE(1.0),Patient experiences,I,ISR,Israel,A,Annual,RHPTIPAT,Regular doctor spending enough time with patients during the consultation,PT_PAT,Percentage of patients,Y_GE16,16 years or over,_T,Total,VALUEW,Weighted value,2014,,85.5,,,,_Z,Not applicable,,,1,One,,,,,,,0,Units
DATAFLOW,OECD.ELS.HD:DSD_HCQO@DF_PE(1.0),Patient experiences,I,SWE,Sweden,A,Annual,RHPGOASK,Regular doctor giving opportunity to ask questions or raise concerns,PT_PAT,Percentage of patients,Y_GE16,16 years or over,_T,Total,VALUEW,Weighted value,2016,,81.3,,,,_Z,Not applicable,,,1,One,,,,,,,0,Units
DATAFLOW,OECD.ELS.HD:DSD_HCQO@DF_PE(1.0),Patient experiences,I,EST,Estonia,A,Annual,HPRGOASK,Doctor giving opportunity to ask questions or raise concerns,PT_PAT,Percentage of patients,Y_GE16,16 years or over,_T,Total,VALUEW,Weighted value,2016,,88,,,,_Z,Not applicable,,,1,One,,,,,,,0,Units
DATAFLOW,OECD.ELS.HD:DSD_HCQO@DF_PE(1.0),Patient experiences,I,EST,Estonia,A,Annual,HPRGOASK,Doctor giving opportunity to ask questions or raise concerns,PT_PAT,Percentage of patients,Y_GE16,16 years or over,_T,Total,VALUEW,Weighted value,2019,,92,,,,_Z,Not applicable,,,1,One,,,,,,,0,Units
DATAFLOW,OECD.ELS.HD:DSD_HCQO@DF_PE(1.0),Patient experiences,I,EST,Estonia,A,Annual,HPRGOASK,Doctor giving opportunity to ask questions or raise concerns,PT_PAT,Percentage of patients,Y_GE16,16 years or over,_T,Total,VALUEW,Weighted value,2012,,75.5,,,,_Z,Not applicable,,,1,One,,,,,,,0,Units
DATAFLOW,OECD.ELS.HD:DSD_HCQO@DF_PE(1.0),Patient experiences,I,EST,Estonia,A,Annual,HPRGOASK,Doctor giving opportunity to ask questions or raise concerns,PT_PAT,Percentage of patients,Y_GE16,16 years or over,_T,Total,VALUEW,Weighted value,2013,,85.2,,,,_Z,Not applicable,,,1,One,,,,,,,0,Units
DATAFLOW,OECD.ELS.HD:DSD_HCQO@DF_PE(1.0),Patient experiences,I,EST,Estonia,A,Annual,HPRGOASK,Doctor giving opportunity to ask questions or raise concerns,PT_PAT,Percentage of patients,Y_GE16,16 years or over,_T,Total,VALUEW,Weighted value,2014,,86.2,,,,_Z,Not applicable,,,1,One,,,,,,,0,Units
DATAFLOW,OECD.ELS.HD:DSD_HCQO@DF_PE(1.0),Patient experiences,I,ISR,Israel,A,Annual,HPRTIPAT,Doctor spending enough time with patients during the consultation,PT_PAT,Percentage of patients,Y_GE16,16 years or over,_T,Total,VALUEW,Weighted value,2016,,86.6,,,,_Z,Not applicable,,,1,One,,,,,,,0,Units
DATAFLOW,OECD.ELS.HD:DSD_HCQO@DF_PE(1.0),Patient experiences,I,ISR,Israel,A,Annual,HPRTIPAT,Doctor spending enough time with patients during the consultation,PT_PAT,Percentage of patients,Y_GE16,16 years or over,_T,Total,VALUEW,Weighted value,2018,,96.1,,,,_Z,Not applicable,,,1,One,,,,,,,0,Units
DATAFLOW,OECD.ELS.HD:DSD_HCQO@DF_PE(1.0),Patient experiences,I,ISR,Israel,A,Annual,HPRTIPAT,Doctor spending enough time with patients during the consultation,PT_PAT,Percentage of patients,Y_GE16,16 years or over,_T,Total,VALUEW,Weighted value,2021,,89.3,,,,_Z,Not applicable,,,1,One,,,,,,,0,Units
DATAFLOW,OECD.ELS.HD:DSD_HCQO@DF_PE(1.0),Patient experiences,I,NZL,New Zealand,A,Annual,RHPEXCLA,Regular doctor providing easy-to-understand explanations,PT_PAT,Percentage of patients,Y_GE16,16 years or over,_T,Total,VALUEW,Weighted value,2016,,89.2,,,,_Z,Not applicable,,,1,One,,,,,,,0,Units
DATAFLOW,OECD.ELS.HD:DSD_HCQO@DF_PE(1.0),Patient experiences,I,NZL,New Zealand,A,Annual,RHPEXCLA,Regular doctor providing easy-to-understand explanations,PT_PAT,Percentage of patients,Y_GE16,16 years or over,_T,Total,VALUEW,Weighted value,2020,,92.8,,,,_Z,Not applicable,,,1,One,,,,,,,0,Units
DATAFLOW,OECD.ELS.HD:DSD_HCQO@DF_PE(1.0),Patient experiences,I,NZL,New Zealand,A,Annual,RHPEXCLA,Regular doctor providing easy-to-understand explanations,PT_PAT,Percentage of patients,Y_GE16,16 years or over,_T,Total,VALUEW,Weighted value,2010,,92.6,,,,_Z,Not applicable,,,1,One,,,,,,,0,Units
DATAFLOW,OECD.ELS.HD:DSD_HCQO@DF_PE(1.0),Patient experiences,I,EST,Estonia,A,Annual,HPRTIPAT,Doctor spending enough time with patients during the consultation,PT_PAT,Percentage of patients,Y_GE16,16 years or over,_T,Total,VALUEW,Weighted value,2014,,86.3,,,,_Z,Not applicable,,,1,One,,,,,,,0,Units
DATAFLOW,OECD.ELS.HD:DSD_HCQO@DF_PE(1.0),Patient experiences,I,EST,Estonia,A,Annual,HPRTIPAT,Doctor spending enough time with patients during the consultation,PT_PAT,Percentage of patients,Y_GE16,16 years or over,_T,Total,VALUEW,Weighted value,2015,,91.9,,,,_Z,Not applicable,,,1,One,,,,,,,0,Units
