STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,REF_AREA,Reference area,FREQ,Frequency of observation,MEASURE,Measure,UNIT_MEASURE,Unit of measure,ORIGIN,Origin,TRAINING_PLACE,Place of training,HEALTH_PROF,Health profession,TIME_PERIOD,Time period,OBS_VALUE,Observation value,OBS_STATUS,Observation status,OBS_STATUS2,Observation status 2,OBS_STATUS3,Observation status 3,UNIT_MULT,Unit multiplier,DECIMALS,Decimals
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_WFMI@DF_HEALTH_WFMI(1.0),Health workforce migration,I,SWE,Sweden,A,Annual,HW,Health workforce stock,PT_WR_PRF_HLTH,Percentage of workers in the same health profession,W,World,FOREIGN,Foreign,MINU,Nurses,2013,,2.662,,,,,,,,,,0,Zero
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_WFMI@DF_HEALTH_WFMI(1.0),Health workforce migration,I,SWE,Sweden,A,Annual,HW,Health workforce stock,PT_WR_PRF_HLTH,Percentage of workers in the same health profession,W,World,FOREIGN,Foreign,MINU,Nurses,2014,,2.748,,,,,,,,,,0,Zero
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_WFMI@DF_HEALTH_WFMI(1.0),Health workforce migration,I,SWE,Sweden,A,Annual,HW,Health workforce stock,PT_WR_PRF_HLTH,Percentage of workers in the same health profession,W,World,FOREIGN,Foreign,MINU,Nurses,2015,,2.965,,,,,,,,,,0,Zero
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_WFMI@DF_HEALTH_WFMI(1.0),Health workforce migration,I,SWE,Sweden,A,Annual,HW,Health workforce stock,PT_WR_PRF_HLTH,Percentage of workers in the same health profession,W,World,FOREIGN,Foreign,MINU,Nurses,2016,,3.112,,,,,,,,,,0,Zero
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_WFMI@DF_HEALTH_WFMI(1.0),Health workforce migration,I,SWE,Sweden,A,Annual,HW,Health workforce stock,PT_WR_PRF_HLTH,Percentage of workers in the same health profession,W,World,FOREIGN,Foreign,MINU,Nurses,2017,,3.221,,,,,,,,,,0,Zero
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_WFMI@DF_HEALTH_WFMI(1.0),Health workforce migration,I,SWE,Sweden,A,Annual,HW,Health workforce stock,PT_WR_PRF_HLTH,Percentage of workers in the same health profession,W,World,FOREIGN,Foreign,MINU,Nurses,2018,,3.325,,,,,,,,,,0,Zero
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_WFMI@DF_HEALTH_WFMI(1.0),Health workforce migration,I,SWE,Sweden,A,Annual,HW,Health workforce stock,PT_WR_PRF_HLTH,Percentage of workers in the same health profession,W,World,FOREIGN,Foreign,MINU,Nurses,2019,,3.341,,,,,,,,,,0,Zero
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_WFMI@DF_HEALTH_WFMI(1.0),Health workforce migration,I,SWE,Sweden,A,Annual,HW,Health workforce stock,PT_WR_PRF_HLTH,Percentage of workers in the same health profession,W,World,FOREIGN,Foreign,MINU,Nurses,2020,,3.556,,,,,,,,,,0,Zero
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_WFMI@DF_HEALTH_WFMI(1.0),Health workforce migration,I,SWE,Sweden,A,Annual,HW,Health workforce stock,PT_WR_PRF_HLTH,Percentage of workers in the same health profession,W,World,FOREIGN,Foreign,MINU,Nurses,2021,,3.594,,,,,,,,,,0,Zero
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_WFMI@DF_HEALTH_WFMI(1.0),Health workforce migration,I,SVN,Slovenia,A,Annual,HW,Health workforce stock,PT_WR_PRF_HLTH,Percentage of workers in the same health profession,W,World,FOREIGN,Foreign,PHYS,Physicians,2010,,10.66,,,,,,,,,,0,Zero
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_WFMI@DF_HEALTH_WFMI(1.0),Health workforce migration,I,SVN,Slovenia,A,Annual,HW,Health workforce stock,PT_WR_PRF_HLTH,Percentage of workers in the same health profession,W,World,FOREIGN,Foreign,PHYS,Physicians,2011,,11.79,,,,,,,,,,0,Zero
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_WFMI@DF_HEALTH_WFMI(1.0),Health workforce migration,I,SVN,Slovenia,A,Annual,HW,Health workforce stock,PT_WR_PRF_HLTH,Percentage of workers in the same health profession,W,World,FOREIGN,Foreign,PHYS,Physicians,2012,,14,,,,,,,,,,0,Zero
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_WFMI@DF_HEALTH_WFMI(1.0),Health workforce migration,I,SVN,Slovenia,A,Annual,HW,Health workforce stock,PT_WR_PRF_HLTH,Percentage of workers in the same health profession,W,World,FOREIGN,Foreign,PHYS,Physicians,2013,,14.42,,,,,,,,,,0,Zero
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_WFMI@DF_HEALTH_WFMI(1.0),Health workforce migration,I,SVN,Slovenia,A,Annual,HW,Health workforce stock,PT_WR_PRF_HLTH,Percentage of workers in the same health profession,W,World,FOREIGN,Foreign,PHYS,Physicians,2014,,14.18,,,,,,,,,,0,Zero
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_WFMI@DF_HEALTH_WFMI(1.0),Health workforce migration,I,SVN,Slovenia,A,Annual,HW,Health workforce stock,PT_WR_PRF_HLTH,Percentage of workers in the same health profession,W,World,FOREIGN,Foreign,PHYS,Physicians,2015,,14.1,,,,,,,,,,0,Zero
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_WFMI@DF_HEALTH_WFMI(1.0),Health workforce migration,I,SVN,Slovenia,A,Annual,HW,Health workforce stock,PT_WR_PRF_HLTH,Percentage of workers in the same health profession,W,World,FOREIGN,Foreign,PHYS,Physicians,2016,,18.53,,,,,,,,,,0,Zero
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_WFMI@DF_HEALTH_WFMI(1.0),Health workforce migration,I,SVN,Slovenia,A,Annual,HW,Health workforce stock,PT_WR_PRF_HLTH,Percentage of workers in the same health profession,W,World,FOREIGN,Foreign,PHYS,Physicians,2017,,17.3,,,,,,,,,,0,Zero
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_WFMI@DF_HEALTH_WFMI(1.0),Health workforce migration,I,SVN,Slovenia,A,Annual,HW,Health workforce stock,PT_WR_PRF_HLTH,Percentage of workers in the same health profession,W,World,FOREIGN,Foreign,PHYS,Physicians,2018,,16.93,,,,,,,,,,0,Zero
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_WFMI@DF_HEALTH_WFMI(1.0),Health workforce migration,I,SVN,Slovenia,A,Annual,HW,Health workforce stock,PT_WR_PRF_HLTH,Percentage of workers in the same health profession,W,World,FOREIGN,Foreign,PHYS,Physicians,2019,,16.457,,,,,,,,,,0,Zero
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_WFMI@DF_HEALTH_WFMI(1.0),Health workforce migration,I,SVN,Slovenia,A,Annual,HW,Health workforce stock,PT_WR_PRF_HLTH,Percentage of workers in the same health profession,W,World,FOREIGN,Foreign,PHYS,Physicians,2020,,16.045,,,,,,,,,,0,Zero
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_WFMI@DF_HEALTH_WFMI(1.0),Health workforce migration,I,SVN,Slovenia,A,Annual,HW,Health workforce stock,PT_WR_PRF_HLTH,Percentage of workers in the same health profession,W,World,FOREIGN,Foreign,PHYS,Physicians,2021,,15.809,,,,,,,,,,0,Zero
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_WFMI@DF_HEALTH_WFMI(1.0),Health workforce migration,I,SVN,Slovenia,A,Annual,HW,Health workforce stock,PT_WR_PRF_HLTH,Percentage of workers in the same health profession,W,World,FOREIGN,Foreign,PHYS,Physicians,2022,,15.4,,,,,,,,,,0,Zero
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_WFMI@DF_HEALTH_WFMI(1.0),Health workforce migration,I,LVA,Latvia,A,Annual,HW,Health workforce stock,PT_WR_PRF_HLTH,Percentage of workers in the same health profession,W,World,FOREIGN,Foreign,MINU,Nurses,2004,,4.73,,,,,,,,,,0,Zero
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_WFMI@DF_HEALTH_WFMI(1.0),Health workforce migration,I,LVA,Latvia,A,Annual,HW,Health workforce stock,PT_WR_PRF_HLTH,Percentage of workers in the same health profession,W,World,FOREIGN,Foreign,MINU,Nurses,2005,,4.6,,,,,,,,,,0,Zero
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_WFMI@DF_HEALTH_WFMI(1.0),Health workforce migration,I,LVA,Latvia,A,Annual,HW,Health workforce stock,PT_WR_PRF_HLTH,Percentage of workers in the same health profession,W,World,FOREIGN,Foreign,MINU,Nurses,2006,,4.46,,,,,,,,,,0,Zero
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_WFMI@DF_HEALTH_WFMI(1.0),Health workforce migration,I,LVA,Latvia,A,Annual,HW,Health workforce stock,PT_WR_PRF_HLTH,Percentage of workers in the same health profession,W,World,FOREIGN,Foreign,MINU,Nurses,2007,,4.42,,,,,,,,,,0,Zero
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_WFMI@DF_HEALTH_WFMI(1.0),Health workforce migration,I,LVA,Latvia,A,Annual,HW,Health workforce stock,PT_WR_PRF_HLTH,Percentage of workers in the same health profession,W,World,FOREIGN,Foreign,MINU,Nurses,2008,,4.72,,,,,,,,,,0,Zero
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_WFMI@DF_HEALTH_WFMI(1.0),Health workforce migration,I,LVA,Latvia,A,Annual,HW,Health workforce stock,PT_WR_PRF_HLTH,Percentage of workers in the same health profession,W,World,FOREIGN,Foreign,MINU,Nurses,2009,,4.48,,,,,,,,,,0,Zero
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_WFMI@DF_HEALTH_WFMI(1.0),Health workforce migration,I,LVA,Latvia,A,Annual,HW,Health workforce stock,PT_WR_PRF_HLTH,Percentage of workers in the same health profession,W,World,FOREIGN,Foreign,MINU,Nurses,2010,,4.44,,,,,,,,,,0,Zero
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_WFMI@DF_HEALTH_WFMI(1.0),Health workforce migration,I,LVA,Latvia,A,Annual,HW,Health workforce stock,PT_WR_PRF_HLTH,Percentage of workers in the same health profession,W,World,FOREIGN,Foreign,MINU,Nurses,2011,,4.22,,,,,,,,,,0,Zero
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_WFMI@DF_HEALTH_WFMI(1.0),Health workforce migration,I,LVA,Latvia,A,Annual,HW,Health workforce stock,PT_WR_PRF_HLTH,Percentage of workers in the same health profession,W,World,FOREIGN,Foreign,MINU,Nurses,2012,,4.03,,,,,,,,,,0,Zero
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_WFMI@DF_HEALTH_WFMI(1.0),Health workforce migration,I,LVA,Latvia,A,Annual,HW,Health workforce stock,PT_WR_PRF_HLTH,Percentage of workers in the same health profession,W,World,FOREIGN,Foreign,MINU,Nurses,2013,,3.94,,,,,,,,,,0,Zero
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_WFMI@DF_HEALTH_WFMI(1.0),Health workforce migration,I,LVA,Latvia,A,Annual,HW,Health workforce stock,PT_WR_PRF_HLTH,Percentage of workers in the same health profession,W,World,FOREIGN,Foreign,MINU,Nurses,2014,,3.8,,,,,,,,,,0,Zero
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_WFMI@DF_HEALTH_WFMI(1.0),Health workforce migration,I,LVA,Latvia,A,Annual,HW,Health workforce stock,PT_WR_PRF_HLTH,Percentage of workers in the same health profession,W,World,FOREIGN,Foreign,MINU,Nurses,2015,,3.37,,,,,,,,,,0,Zero
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_WFMI@DF_HEALTH_WFMI(1.0),Health workforce migration,I,LVA,Latvia,A,Annual,HW,Health workforce stock,PT_WR_PRF_HLTH,Percentage of workers in the same health profession,W,World,FOREIGN,Foreign,MINU,Nurses,2016,,3.18,,,,,,,,,,0,Zero
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_WFMI@DF_HEALTH_WFMI(1.0),Health workforce migration,I,LVA,Latvia,A,Annual,HW,Health workforce stock,PT_WR_PRF_HLTH,Percentage of workers in the same health profession,W,World,FOREIGN,Foreign,MINU,Nurses,2017,,3.24,,,,,,,,,,0,Zero
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_WFMI@DF_HEALTH_WFMI(1.0),Health workforce migration,I,LVA,Latvia,A,Annual,HW,Health workforce stock,PT_WR_PRF_HLTH,Percentage of workers in the same health profession,W,World,FOREIGN,Foreign,MINU,Nurses,2018,,2.63,,,,,,,,,,0,Zero
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_WFMI@DF_HEALTH_WFMI(1.0),Health workforce migration,I,LVA,Latvia,A,Annual,HW,Health workforce stock,PT_WR_PRF_HLTH,Percentage of workers in the same health profession,W,World,FOREIGN,Foreign,MINU,Nurses,2019,,2.58,,,,,,,,,,0,Zero
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_WFMI@DF_HEALTH_WFMI(1.0),Health workforce migration,I,LVA,Latvia,A,Annual,HW,Health workforce stock,PT_WR_PRF_HLTH,Percentage of workers in the same health profession,W,World,FOREIGN,Foreign,MINU,Nurses,2020,,2.61,,,,,,,,,,0,Zero
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_WFMI@DF_HEALTH_WFMI(1.0),Health workforce migration,I,LVA,Latvia,A,Annual,HW,Health workforce stock,PT_WR_PRF_HLTH,Percentage of workers in the same health profession,W,World,FOREIGN,Foreign,MINU,Nurses,2021,,2.52,,,,,,,,,,0,Zero
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_WFMI@DF_HEALTH_WFMI(1.0),Health workforce migration,I,LVA,Latvia,A,Annual,HW,Health workforce stock,PT_WR_PRF_HLTH,Percentage of workers in the same health profession,W,World,FOREIGN,Foreign,MINU,Nurses,2022,,3.16,,,,,,,,,,0,Zero
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_WFMI@DF_HEALTH_WFMI(1.0),Health workforce migration,I,IRL,Ireland,A,Annual,HW,Health workforce stock,PT_WR_PRF_HLTH,Percentage of workers in the same health profession,W,World,FOREIGN,Foreign,MINU,Nurses,2021,,46.563,,,,,,,,,,0,Zero
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_WFMI@DF_HEALTH_WFMI(1.0),Health workforce migration,I,IRL,Ireland,A,Annual,HW,Health workforce stock,PT_WR_PRF_HLTH,Percentage of workers in the same health profession,W,World,FOREIGN,Foreign,MINU,Nurses,2022,,49.065,,,,,,,,,,0,Zero
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_WFMI@DF_HEALTH_WFMI(1.0),Health workforce migration,I,PRT,Portugal,A,Annual,HW,Health workforce stock,PT_WR_PRF_HLTH,Percentage of workers in the same health profession,W,World,FOREIGN,Foreign,MINU,Nurses,2003,,5.18,,,,,,,,,,0,Zero
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_WFMI@DF_HEALTH_WFMI(1.0),Health workforce migration,I,PRT,Portugal,A,Annual,HW,Health workforce stock,PT_WR_PRF_HLTH,Percentage of workers in the same health profession,W,World,FOREIGN,Foreign,MINU,Nurses,2004,,5.232,,,,,,,,,,0,Zero
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_WFMI@DF_HEALTH_WFMI(1.0),Health workforce migration,I,PRT,Portugal,A,Annual,HW,Health workforce stock,PT_WR_PRF_HLTH,Percentage of workers in the same health profession,W,World,FOREIGN,Foreign,MINU,Nurses,2005,,4.916,,,,,,,,,,0,Zero
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_WFMI@DF_HEALTH_WFMI(1.0),Health workforce migration,I,PRT,Portugal,A,Annual,HW,Health workforce stock,PT_WR_PRF_HLTH,Percentage of workers in the same health profession,W,World,FOREIGN,Foreign,MINU,Nurses,2006,,4.472,,,,,,,,,,0,Zero
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_WFMI@DF_HEALTH_WFMI(1.0),Health workforce migration,I,PRT,Portugal,A,Annual,HW,Health workforce stock,PT_WR_PRF_HLTH,Percentage of workers in the same health profession,W,World,FOREIGN,Foreign,MINU,Nurses,2007,,3.938,,,,,,,,,,0,Zero
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_WFMI@DF_HEALTH_WFMI(1.0),Health workforce migration,I,PRT,Portugal,A,Annual,HW,Health workforce stock,PT_WR_PRF_HLTH,Percentage of workers in the same health profession,W,World,FOREIGN,Foreign,MINU,Nurses,2008,,3.583,,,,,,,,,,0,Zero
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_WFMI@DF_HEALTH_WFMI(1.0),Health workforce migration,I,PRT,Portugal,A,Annual,HW,Health workforce stock,PT_WR_PRF_HLTH,Percentage of workers in the same health profession,W,World,FOREIGN,Foreign,MINU,Nurses,2009,,3.378,,,,,,,,,,0,Zero
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_WFMI@DF_HEALTH_WFMI(1.0),Health workforce migration,I,PRT,Portugal,A,Annual,HW,Health workforce stock,PT_WR_PRF_HLTH,Percentage of workers in the same health profession,W,World,FOREIGN,Foreign,MINU,Nurses,2010,,3.205,,,,,,,,,,0,Zero
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_WFMI@DF_HEALTH_WFMI(1.0),Health workforce migration,I,PRT,Portugal,A,Annual,HW,Health workforce stock,PT_WR_PRF_HLTH,Percentage of workers in the same health profession,W,World,FOREIGN,Foreign,MINU,Nurses,2011,,3.034,,,,,,,,,,0,Zero
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_WFMI@DF_HEALTH_WFMI(1.0),Health workforce migration,I,PRT,Portugal,A,Annual,HW,Health workforce stock,PT_WR_PRF_HLTH,Percentage of workers in the same health profession,W,World,FOREIGN,Foreign,MINU,Nurses,2012,,2.959,,,,,,,,,,0,Zero
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_WFMI@DF_HEALTH_WFMI(1.0),Health workforce migration,I,PRT,Portugal,A,Annual,HW,Health workforce stock,PT_WR_PRF_HLTH,Percentage of workers in the same health profession,W,World,FOREIGN,Foreign,MINU,Nurses,2013,,2.956,,,,,,,,,,0,Zero
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_WFMI@DF_HEALTH_WFMI(1.0),Health workforce migration,I,PRT,Portugal,A,Annual,HW,Health workforce stock,PT_WR_PRF_HLTH,Percentage of workers in the same health profession,W,World,FOREIGN,Foreign,MINU,Nurses,2014,,1.823,,B,Time series break,,,,,,,0,Zero
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_WFMI@DF_HEALTH_WFMI(1.0),Health workforce migration,I,EST,Estonia,A,Annual,HW,Health workforce stock,PT_WR_PRF_HLTH,Percentage of workers in the same health profession,W,World,FOREIGN,Foreign,PHYS,Physicians,2003,,0.03,,,,,,,,,,0,Zero
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_WFMI@DF_HEALTH_WFMI(1.0),Health workforce migration,I,EST,Estonia,A,Annual,HW,Health workforce stock,PT_WR_PRF_HLTH,Percentage of workers in the same health profession,W,World,FOREIGN,Foreign,PHYS,Physicians,2004,,0.15,,,,,,,,,,0,Zero
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_WFMI@DF_HEALTH_WFMI(1.0),Health workforce migration,I,EST,Estonia,A,Annual,HW,Health workforce stock,PT_WR_PRF_HLTH,Percentage of workers in the same health profession,W,World,FOREIGN,Foreign,PHYS,Physicians,2005,,0.37,,,,,,,,,,0,Zero
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_WFMI@DF_HEALTH_WFMI(1.0),Health workforce migration,I,EST,Estonia,A,Annual,HW,Health workforce stock,PT_WR_PRF_HLTH,Percentage of workers in the same health profession,W,World,FOREIGN,Foreign,PHYS,Physicians,2006,,0.56,,,,,,,,,,0,Zero
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_WFMI@DF_HEALTH_WFMI(1.0),Health workforce migration,I,EST,Estonia,A,Annual,HW,Health workforce stock,PT_WR_PRF_HLTH,Percentage of workers in the same health profession,W,World,FOREIGN,Foreign,PHYS,Physicians,2007,,0.74,,,,,,,,,,0,Zero
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_WFMI@DF_HEALTH_WFMI(1.0),Health workforce migration,I,EST,Estonia,A,Annual,HW,Health workforce stock,PT_WR_PRF_HLTH,Percentage of workers in the same health profession,W,World,FOREIGN,Foreign,PHYS,Physicians,2008,,1,,,,,,,,,,0,Zero
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_WFMI@DF_HEALTH_WFMI(1.0),Health workforce migration,I,EST,Estonia,A,Annual,HW,Health workforce stock,PT_WR_PRF_HLTH,Percentage of workers in the same health profession,W,World,FOREIGN,Foreign,PHYS,Physicians,2009,,1.26,,,,,,,,,,0,Zero
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_WFMI@DF_HEALTH_WFMI(1.0),Health workforce migration,I,EST,Estonia,A,Annual,HW,Health workforce stock,PT_WR_PRF_HLTH,Percentage of workers in the same health profession,W,World,FOREIGN,Foreign,PHYS,Physicians,2010,,1.42,,,,,,,,,,0,Zero
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_WFMI@DF_HEALTH_WFMI(1.0),Health workforce migration,I,EST,Estonia,A,Annual,HW,Health workforce stock,PT_WR_PRF_HLTH,Percentage of workers in the same health profession,W,World,FOREIGN,Foreign,PHYS,Physicians,2011,,1.73,,,,,,,,,,0,Zero
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_WFMI@DF_HEALTH_WFMI(1.0),Health workforce migration,I,EST,Estonia,A,Annual,HW,Health workforce stock,PT_WR_PRF_HLTH,Percentage of workers in the same health profession,W,World,FOREIGN,Foreign,PHYS,Physicians,2012,,2.01,,,,,,,,,,0,Zero
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_WFMI@DF_HEALTH_WFMI(1.0),Health workforce migration,I,EST,Estonia,A,Annual,HW,Health workforce stock,PT_WR_PRF_HLTH,Percentage of workers in the same health profession,W,World,FOREIGN,Foreign,PHYS,Physicians,2013,,2.35,,,,,,,,,,0,Zero
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_WFMI@DF_HEALTH_WFMI(1.0),Health workforce migration,I,EST,Estonia,A,Annual,HW,Health workforce stock,PT_WR_PRF_HLTH,Percentage of workers in the same health profession,W,World,FOREIGN,Foreign,PHYS,Physicians,2014,,2.64,,,,,,,,,,0,Zero
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_WFMI@DF_HEALTH_WFMI(1.0),Health workforce migration,I,EST,Estonia,A,Annual,HW,Health workforce stock,PT_WR_PRF_HLTH,Percentage of workers in the same health profession,W,World,FOREIGN,Foreign,PHYS,Physicians,2015,,3.04,,,,,,,,,,0,Zero
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_WFMI@DF_HEALTH_WFMI(1.0),Health workforce migration,I,EST,Estonia,A,Annual,HW,Health workforce stock,PT_WR_PRF_HLTH,Percentage of workers in the same health profession,W,World,FOREIGN,Foreign,PHYS,Physicians,2016,,3.31,,,,,,,,,,0,Zero
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_WFMI@DF_HEALTH_WFMI(1.0),Health workforce migration,I,EST,Estonia,A,Annual,HW,Health workforce stock,PT_WR_PRF_HLTH,Percentage of workers in the same health profession,W,World,FOREIGN,Foreign,PHYS,Physicians,2017,,3.57,,,,,,,,,,0,Zero
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_WFMI@DF_HEALTH_WFMI(1.0),Health workforce migration,I,EST,Estonia,A,Annual,HW,Health workforce stock,PT_WR_PRF_HLTH,Percentage of workers in the same health profession,W,World,FOREIGN,Foreign,PHYS,Physicians,2018,,3.86,,,,,,,,,,0,Zero
